Name,Company name,Street Address,City,State,Country,Zip,Phone,Email,Attachments,Open balance
USA Risk Group,,"6th Floor CGI Tower
Warrens",,St. Michael,,,626-6470,sstollmeyer@usarisk.bb,0,173.90
UWI Bookshop,,Cave Hill,,St.Michael,Barbados,,417-4515 (Stephanie Long),stephanie.long@cavehill.uwi.edu,0,0.00
UWI Global Campus,,Cave Hill,,St.Michael,Barbados,,417-4021,sherry.lorde@uwi.edu,0,0.00
Warrens Tower Inc.,,c/o Terra Caribbean,Worthing,Christ Church,,Attention : Adrian Richards,417-2982,"Facilitiesmgmt@terracaribbean.com, shernell.newton@terracaribbean.com, fmaccounts@terracaribbean.com",0,16.74
Wasn't Me Sailing Cruises,,Rero Enterprises Co. Ltd.,Christ Church,,,,262-3793,captainron@barbadossailing.com,0,"1,320.00"
Welchmanhall Gully,,Welchmanhall,,St.Thomas,Barbados,,438-6671,welchmanhallgully@gmail.com,0,0.00
Wellness Music Creative,,"Ten Habitat Building
Wildey",,St.Michael,Barbados,,239-2487 (Maachelle),wellnessmusiccreative@gmail.com,0,193.88
Whitepark Investments Inc.,,"Charlton House
Whitepark Road",,St.Michael,,,430-8961,shelly@charltonchambers.com.bb,0,278.49
William Gordon (Customer),,,,,,,,,0,0.00
Williams Tours Inc.,,Arritxu,Christ Church,,,,427-1043,williamstoursbarbados@gmail.com,0,0.00
World Food Program - Barbados Country Office,,"UN House
Marine Gardens
Hastings",,Christ Church,Barbados,,836-6055,"barbados.accountspayable@wfp.org, barbados.finance@wfp.org",0,"1,678.80"
Worrell Island Tours,,"#334 Peridot Road,",Christ Church,,,,262-9529 / 821-6128,worrell.islandtours246@gmail.com,0,"1,320.00"
YBG Management Services Inc.,,"C/O Alpha & Omega Law Chambers
1st Floor Trident House",,Bridgetown,,,431-0798,yolande@caribsurf.com,0,0.00
Yellow Bird Hotel,,St.Lawrence Gap,,Christ Church,Barbados,,622-8444,tropicalmist@southgapbarbados.com,0,0.00
